src_ip,dst_ip,src_port, Destination Port,protocol,timestamp, Flow Duration,flow_byts_s,flow_pkts_s,fwd_pkts_s, Bwd Packets/s,tot_fwd_pkts,tot_bwd_pkts,Total Length of Fwd Packets,totlen_bwd_pkts,fwd_pkt_len_max, Fwd Packet Length Min, Fwd Packet Length Mean,fwd_pkt_len_std,bwd_pkt_len_max, Bwd Packet Length Min,bwd_pkt_len_mean, Bwd Packet Length Std,pkt_len_max, Min Packet Length,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min, act_data_pkt_fwd, Flow IAT Mean, Flow IAT Max,flow_iat_min,flow_iat_std,Fwd IAT Total,fwd_iat_max,fwd_iat_min,fwd_iat_mean, Fwd IAT Std,Bwd IAT Total, Bwd IAT Max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt, PSH Flag Count, ACK Flag Count, URG Flag Count,ece_flag_cnt, Down/Up Ratio,pkt_size_avg,Init_Win_bytes_forward, Init_Win_bytes_backward,active_max,active_min,active_mean,active_std,idle_max, Idle Min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg, min_seg_size_forward,bwd_seg_size_avg,cwe_flag_count, Subflow Fwd Bytes,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
185.174.136.114,46.22.56.233,22,21600,6,2022-10-10 00:32:07,118552424.19242859,509.4455082754623,2.530526069319801,1.3664840774326925,1.1640419918871086,162,138,49284,11112,2918.0,54.0,304.22222222222223,533.3518515303609,178.0,54.0,80.52173913043478,28.05409303659379,2918,54,201.32,407.92537422098826,166403.11093333332,3240,2760,20,91,396496.4019813665,2491935.0147247314,0.476837158203125,814097.7089247375,118500553.84635925,2535835.9813690186,13.589859008789062,736028.2847599954,1008560.5967875094,118545304.53681946,2491935.0147247314,0.476837158203125,865294.193699412,1040593.9287621276,0,0,0,0,1,0,0,0,0,0,0,0.8518518518518519,201.32,18917,1025,2491881.3705444336,2799.0341186523438,981417.1242502938,1055525.9628719466,2448087.692260742,7119.655609130859,927418.8201935565,1049235.0840388,36320.0,25.0,0.0,0.0,1748128.0341507636,0.0,304.22222222222223,80.52173913043478,0,162,138,49284,11112,Benign
46.22.56.233,185.174.136.114,21600,22,6,2022-10-10 00:34:08,110227617.26379395,183.29344769966585,1.7962830451659988,0.8799972493995044,0.9162857957664943,97,101,7350,12854,106.0,54.0,75.77319587628865,22.028802680089843,2498.0,54.0,127.26732673267327,338.05825530810876,2498,54,102.04040404040404,243.30319112571857,59196.442811957946,1940,2020,20,48,559531.0521004769,2485901.355743408,22.411346435546875,945841.6672017823,110227555.51338196,2485901.355743408,183.34388732910156,1148203.7032643955,1102531.4865612616,110227525.47264099,2531711.8167877197,173.5687255859375,1102275.25472641,1104866.6688878548,0,0,0,0,1,0,0,0,0,0,0,1.041237113402062,102.04040404040404,1025,18917,2485807.6572418213,91.79115295410156,1121820.2697469832,1102565.4566505821,2440184.5932006836,7714.986801147461,1122852.2671029924,1100044.3617473806,0.0,0.0,5188.0,5.0,0.0,26851.230393154925,75.77319587628865,127.26732673267327,0,97,101,7350,12854,Benign
146.75.51.7,185.174.136.114,443,17649,6,2022-10-10 00:35:54,159.97886657714844,750099.0760059613,12501.65126676602,6250.82563338301,6250.82563338301,1,1,66,54,66.0,66.0,66.0,0.0,54.0,54.0,54.0,0.0,66,54,60.0,6.0,36.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.0,65535,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,54.0,0,1,1,66,54,Benign
185.174.136.114,46.22.56.233,22,21600,6,2022-10-10 00:35:59,94245570.89805603,185.9822146863513,1.8462406067677504,0.9443414597835045,0.9018991469842459,89,85,11146,6382,2354.0,54.0,125.23595505617978,305.655384359793,114.0,54.0,75.08235294117647,22.455295073024732,2354,54,100.73563218390805,220.59305955933826,48661.29792574975,1780,1700,20,49,544772.0861159308,2503948.926925659,27.65655517578125,945918.5502230468,94201759.57679749,2527761.220932007,2603.292465209961,1070474.540645426,1118070.3268280558,94241157.05490112,2504015.2072906494,5957.603454589844,1121918.5363678704,1116047.7273131418,0,0,0,0,1,0,0,0,0,0,0,0.9550561797752809,100.73563218390805,18917,1026,2503856.420516968,815.1531219482422,1141907.0612026167,1119257.241713315,2503882.646560669,5236.86408996582,1088146.106306329,1114808.8263154563,2304.0,5.0,0.0,0.0,28888.57591352269,0.0,125.23595505617978,75.08235294117647,0,89,85,11146,6382,Benign
192.24.46.51,185.174.136.114,42029,22,6,2022-10-10 00:37:09,5900967.359542847,1078.6367068624324,4.406057247199253,2.3724923638765207,2.033564883322732,14,12,3505,2860,1514.0,66.0,250.35714285714286,389.80060967900295,1146.0,66.0,238.33333333333334,354.02620744170275,1514,66,244.80769230769232,373.76319315338293,139698.92455621302,280,240,20,5,236038.69438171387,3537469.8638916016,12.159347534179688,682309.1975122725,5900967.359542847,3705045.461654663,465.8699035644531,453920.5661186805,943106.0491806382,5774081.707000732,3537469.8638916016,410.31837463378906,524916.5188182484,971140.5844915535,0,0,0,0,1,0,0,0,0,0,0,0.8571428571428571,244.80769230769232,14600,501,3410290.241241455,122.78556823730469,602537.9598140717,1067201.6826338717,3497073.8887786865,64164.40010070801,412235.0811958313,931251.5958063937,0.0,0.0,0.0,0.0,0.0,0.0,250.35714285714286,238.33333333333334,0,14,12,3505,2860,Benign
46.22.56.233,185.174.136.114,21600,22,6,2022-10-10 00:37:33,90480462.78953552,693.2104242868007,2.796183752822942,1.304148944004376,1.492034808818566,118,135,9376,53346,174.0,54.0,79.45762711864407,29.438428726663684,2918.0,54.0,395.15555555555557,800.330874786049,2918,54,247.91304347826087,605.7990707963274,366992.51417769375,2360,2700,20,56,359049.45551402983,2466837.4061584473,0.7152557373046875,769340.7715395166,90480385.78033447,2466837.4061584473,0.7152557373046875,773336.6306011493,996028.9548552228,90480420.58944702,2512839.5557403564,15.020370483398438,675227.0193242315,964391.1754476043,0,0,0,0,1,0,0,0,0,0,0,1.1440677966101696,247.91304347826087,1026,18917,2466772.7947235107,42.20008850097656,893014.64955012,1022826.6062727058,2423019.1707611084,5173.921585083008,845903.5064659867,1012502.4528181838,0.0,0.0,20478.0,13.5,0.0,81715.77167408433,79.45762711864407,395.15555555555557,0,118,135,9376,53346,Benign
179.60.147.99,185.174.136.114,30914,22,6,2022-10-10 00:37:50,0.0,0,0,0,0,1,0,54,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,54,54,54.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,54.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0,1,0,54,0,Benign
185.174.136.114,1.1.1.1,41446,53,17,2022-10-10 00:38:19,1817.941665649414,144119.03580327868,1100.14531147541,550.072655737705,550.072655737705,1,1,90,172,90.0,90.0,90.0,0.0,172.0,172.0,172.0,0.0,172,90,131.0,41.0,1681.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,131.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,172.0,0,1,1,90,172,Benign
185.174.136.114,1.1.1.1,46097,53,17,2022-10-10 00:38:19,2228.0216217041016,107718.88282504013,897.6573568753344,448.8286784376672,448.8286784376672,1,1,90,150,90.0,90.0,90.0,0.0,150.0,150.0,150.0,0.0,150,90,120.0,30.0,900.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,120.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,150.0,0,1,1,90,150,Benign
185.174.136.114,13.107.5.93,33952,443,6,2022-10-10 00:38:19,287368.5359954834,32007.679505123575,83.51645011121612,41.75822505560806,41.75822505560806,12,12,2008,7190,703.0,54.0,167.33333333333334,213.1894045730749,2974.0,54.0,599.1666666666666,856.4183978770087,2974,54,383.25,660.3568006514862,436071.1041666667,240,240,20,4,12494.28417371667,46075.10566711426,0.0,17603.603328193873,242281.91375732422,70158.48159790039,52.45208740234375,22025.628523393112,23936.759256530593,241293.43032836914,57130.81359863281,0.0,21935.766393488102,23807.92758332934,0,0,0,0,1,0,0,0,0,0,0,1.0,383.25,64240,16379,44868.23081970215,3297.8057861328125,35338.16337585449,16080.93601765735,46075.10566711426,8334.636688232422,30991.04336329869,13785.335773608915,0.0,0.0,0.0,0.0,0.0,0.0,167.33333333333334,599.1666666666666,0,12,12,2008,7190,Benign
185.174.136.114,1.1.1.1,46506,53,17,2022-10-10 00:38:20,1959.8007202148438,122461.4306569343,1020.5119221411193,510.25596107055964,510.25596107055964,1,1,90,150,90.0,90.0,90.0,0.0,150.0,150.0,150.0,0.0,150,90,120.0,30.0,900.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,120.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,150.0,0,1,1,90,150,Benign
185.174.136.114,13.107.5.93,33962,443,6,2022-10-10 00:38:20,220911.97967529297,18265.19324995791,72.42703643105986,36.21351821552993,36.21351821552993,8,8,1684,2351,703.0,54.0,210.5,257.7130186855138,1782.0,54.0,293.875,564.3568103381051,1782,54,252.1875,440.6757905124242,194195.15234375,160,160,20,3,14727.465311686197,44384.71794128418,1.430511474609375,18133.276172071943,176681.0417175293,71294.54612731934,545.501708984375,25240.1488167899,25851.495973936922,176527.2617340088,53458.452224731445,1.430511474609375,25218.18024771554,21314.849022407838,0,0,0,0,1,0,0,0,0,0,0,1.0,252.1875,64240,16380,44017.07649230957,2777.3380279541016,33522.069454193115,17751.64287341927,44384.71794128418,9098.529815673828,34372.47276306152,13527.389504213188,0.0,0.0,0.0,0.0,0.0,0.0,210.5,293.875,0,8,8,1684,2351,Benign
185.174.136.114,46.22.56.233,22,21600,6,2022-10-10 00:39:04,121795294.52323914,4330.101602565378,5.7391379752082905,2.7751482626901316,2.9639897125181585,338,361,495784,31602,15806.0,54.0,1466.8165680473373,3069.1940072153607,3546.0,54.0,87.54016620498615,188.35994060107654,15806,54,754.486409155937,2246.8661611125453,5048407.545952627,6760,7220,20,232,174491.82596452598,2463507.652282715,0.2384185791015625,550401.7891451906,121795294.52323914,2510179.5196533203,10.49041748046875,361410.36950516066,760573.9169350319,119501877.784729,2463507.652282715,0.2384185791015625,331949.6605131361,731659.1848369001,0,0,0,0,1,0,0,0,0,0,0,1.0680473372781065,754.486409155937,18917,1027,2463411.331176758,1646.0418701171875,659232.1814152233,931584.9823003707,2418390.2740478516,5310.05859375,577890.4859744124,896670.3917667018,55858.5,14.75,0.0,0.0,231697.098498512,0.0,1466.8165680473373,87.54016620498615,0,338,361,495784,31602,Benign
46.22.56.233,185.174.136.114,21600,22,6,2022-10-10 00:41:05,117604598.99902344,150.26623236176965,1.7006137659774747,0.8503068829887374,0.8503068829887374,100,100,7520,10152,106.0,54.0,75.2,22.079855071988135,2362.0,54.0,101.52,228.76173106531604,2362,54,88.36,163.04266435507,26582.910400000015,2000,2000,20,48,590977.8844172033,2445525.1693725586,47.6837158203125,972559.2383749244,117604598.99902344,2445525.1693725586,3573.894500732422,1187925.242414378,1118367.708637119,116881558.89511108,2489879.846572876,3243.2079315185547,1180621.807021324,1123758.582373375,0,0,0,0,1,0,0,0,0,0,0,1.0,88.36,1027,18971,2445446.014404297,57448.387145996094,1238343.8650068345,1111740.8059168274,2402947.187423706,12042.045593261719,1226200.7516363394,1111485.2325713143,0.0,0.0,2648.0,4.0,0.0,44835.14382021565,75.2,101.52,0,100,100,7520,10152,Benign
200.73.135.5,185.174.136.114,1027,30301,17,2022-10-10 00:42:47,0.0,0,0,0,0,1,0,76,0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,76,76,76.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,76.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0,1,0,76,0,Benign
164.52.24.167,185.174.136.114,40368,10040,17,2022-10-10 00:43:04,0.0,0,0,0,0,1,0,74,0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,74,74,74.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,74.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0,1,0,74,0,Benign
185.174.136.114,1.1.1.1,57143,53,17,2022-10-10 00:43:11,1785.9935760498047,146697.05620077427,1119.82485649446,559.91242824723,559.91242824723,1,1,90,172,90.0,90.0,90.0,0.0,172.0,172.0,172.0,0.0,172,90,131.0,41.0,1681.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,131.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,172.0,0,1,1,90,172,Benign
185.174.136.114,1.1.1.1,52078,53,17,2022-10-10 00:43:11,2080.4405212402344,145642.2314920926,961.3348613339446,480.6674306669723,480.6674306669723,1,1,90,213,90.0,90.0,90.0,0.0,213.0,213.0,213.0,0.0,213,90,151.5,61.5,3782.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,151.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,213.0,0,1,1,90,213,Benign
185.174.136.114,1.1.1.1,56179,53,17,2022-10-10 00:43:11,1756.429672241211,136640.82530202254,1138.673544183521,569.3367720917605,569.3367720917605,1,1,90,150,90.0,90.0,90.0,0.0,150.0,150.0,150.0,0.0,150,90,120.0,30.0,900.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,120.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,150.0,0,1,1,90,150,Benign
185.174.136.114,13.107.5.93,39970,443,6,2022-10-10 00:43:11,269575.5958557129,36104.90025665925,89.02883038732375,44.514415193661875,44.514415193661875,12,12,2010,7723,703.0,54.0,167.5,213.4937547876596,2731.0,54.0,643.5833333333334,886.3026625945688,2731,54,405.5416666666667,687.1825314988895,472219.83159722225,240,240,20,4,11720.678080683168,44969.32029724121,7.8678131103515625,17623.398560803613,225518.22662353516,69599.62844848633,87.49961853027344,20501.656965775925,24202.145220395563,225361.58561706543,50040.245056152344,33.855438232421875,20487.416874278675,22372.1316546735,0,0,0,0,1,0,0,0,0,0,0,1.0,405.5416666666667,64240,16379,44953.82308959961,41110.27717590332,43216.10927581787,1485.342375721103,44214.01023864746,5116.462707519531,30520.60944693429,16079.348487789475,0.0,0.0,0.0,0.0,0.0,0.0,167.5,643.5833333333334,0,12,12,2010,7723,Benign
46.22.56.233,185.174.136.114,21600,22,6,2022-10-10 00:43:03,122304578.78112793,665.8949387802219,2.820826525369914,1.3572672556852339,1.46355926968468,166,179,12804,68638,130.0,54.0,77.13253012048193,26.012402548968343,2918.0,54.0,383.45251396648047,814.1874598715677,2918,54,236.06376811594203,606.3747217521557,367690.30318000424,3320,3580,20,76,355536.5662242091,2437602.5199890137,0.476837158203125,764430.0735113695,119995301.48506165,2437602.5199890137,0.476837158203125,727244.2514246161,977395.4506032432,122304538.72680664,2482010.60295105,16.927719116210938,687104.1501505991,965755.519116715,0,0,0,0,1,0,0,0,0,0,0,1.0783132530120483,236.06376811594203,1025,18971,2437505.9604644775,40.0543212890625,1038264.0058344061,1023218.4031904765,2393290.9965515137,5341.529846191406,979142.7399931835,1024528.6436243429,0.0,0.0,17101.333333333332,14.333333333333334,0.0,29045.221389991773,77.13253012048193,383.45251396648047,0,166,179,12804,68638,Benign
34.140.141.103,185.174.136.114,51551,25565,6,2022-10-10 00:44:23,46150.44593811035,3510.2586054585186,65.00478898997257,43.33652599331504,21.66826299665752,2,1,108,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,40,20,20,0,23075.222969055176,46001.434326171875,149.01161193847656,22926.2113571167,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,54.0,1024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,2,1,108,54,Benign
